timestep,group,average_knowledge,knowledge_std,weakest_category_avg,strongest_category_avg,knowledge_variance_avg,cumulative_correct,cumulative_incorrect,accuracy,category_0_knowledge,category_0_exposure,category_1_knowledge,category_1_exposure,category_2_knowledge,category_2_exposure,category_3_knowledge,category_3_exposure,category_4_knowledge,category_4_exposure,category_5_knowledge,category_5_exposure
270,ucb,0.4856139783125655,0.09664007298437362,0.41910579264857356,0.5480165877042261,0.0022543514541024244,8601,18399,0.31855555555555554,0.4888241130272812,4594,0.4856618921861312,4648,0.48390495662067684,4167,0.48148116719945216,4404,0.4966195163452869,5044,0.47719222449656434,4143
280,ucb,0.49196419200293007,0.09381322905347697,0.4291303446675235,0.5528618267374694,0.002131010643158906,9055,18945,0.32339285714285715,0.48952502515082164,4755,0.49689410563137776,4847,0.48962089373027046,4329,0.48882982766154565,4573,0.5056897114640041,5203,0.48122558837956037,4293
290,ucb,0.49958079986658654,0.08868487112704279,0.43696823569507237,0.5599629725417355,0.0020729690014590486,9528,19472,0.32855172413793104,0.5061752845563748,4948,0.5026469961577855,5033,0.494814789498202,4475,0.49151680996165564,4720,0.5095592258017239,5382,0.4927716932237785,4442
300,ucb,0.5056163477349038,0.08785860064287672,0.44107246775867565,0.5680970048288617,0.0021284452442257963,10001,19999,0.33336666666666664,0.5065781680473348,5087,0.5124133961895054,5193,0.497741990264899,4642,0.4991346131616119,4914,0.5201381074596437,5576,0.49769181128642764,4588
310,ucb,0.5129067770858433,0.08514078177396103,0.4509399811489119,0.5730015688280377,0.002033571604526242,10493,20507,0.33848387096774196,0.5118539035470038,5260,0.5167040371719974,5362,0.5053722949007929,4804,0.5133675004721293,5100,0.5252275530508852,5721,0.5049153733722512,4753
320,ucb,0.5169229518977845,0.08294566397336739,0.45263748734395465,0.5790872658091869,0.0021265603130969342,10969,21031,0.34278125,0.5181722776460009,5452,0.5253152543496123,5524,0.5110172438195356,4961,0.5157915351898423,5300,0.5292268377678628,5880,0.5020145626138527,4883
330,ucb,0.5212689513365896,0.08121408426785723,0.45680111094041315,0.5843249250623672,0.0021281362071624006,11454,21546,0.3470909090909091,0.5244373080457222,5616,0.5280057657092075,5681,0.513657214611628,5110,0.5201169277447215,5469,0.5326784555625167,6056,0.5087180363457419,5068
340,ucb,0.526413412772866,0.07728494974706689,0.46655330482744445,0.5905131800033812,0.002112854001111573,11951,22049,0.3515,0.5286936809381078,5770,0.5287909542532051,5835,0.5197614899110675,5278,0.5314764420457614,5646,0.5392025304114295,6225,0.5105553790776256,5246
350,ucb,0.5302504238999508,0.07665990792596454,0.4661112761663262,0.5925613693848962,0.002074263979261639,12447,22553,0.3556285714285714,0.529716772378033,5930,0.5349154743386509,6004,0.5248641662184899,5443,0.5311762013848452,5806,0.5385376495974827,6373,0.5222922794822036,5444
360,ucb,0.5331387500840188,0.07483159216361462,0.4710165381089926,0.5973516714208124,0.0021694756529600867,12939,23061,0.35941666666666666,0.5379777317276424,6129,0.5359075030723633,6176,0.5213088577619808,5602,0.5338455651203792,5941,0.5429283953917848,6564,0.5268644474299622,5588
370,ucb,0.5362522051468195,0.07537911713295524,0.4716827595564891,0.6021025922026919,0.0023326207337837075,13440,23560,0.36324324324324325,0.5354585520216716,6293,0.5411088331043894,6316,0.5303057522429908,5803,0.5394888834358991,6132,0.5467902143133162,6738,0.52436099576265,5718
380,ucb,0.5390611378605752,0.0746172581781942,0.46844087447905153,0.6045490033891433,0.002440238897208685,13942,24058,0.3668947368421053,0.5418643190669293,6442,0.5429394367011734,6481,0.5300196038556753,5982,0.5400732498726538,6291,0.5528903567670159,6920,0.5265798609000033,5884
390,ucb,0.5436524016446562,0.06943888836584275,0.4806842851529474,0.6046138854016249,0.002062825190505862,14459,24541,0.37074358974358973,0.5483678324155027,6597,0.5430293446767829,6631,0.5414939796023867,6200,0.5428438725505738,6445,0.5554304019560401,7054,0.5307489786666516,6073
400,ucb,0.5458376168696646,0.07010739764978771,0.48434677572481144,0.6062259272507916,0.0020647402384577672,14969,25031,0.374225,0.5468585583948117,6765,0.5463296241905364,6797,0.5446380544610586,6382,0.5449311672769618,6599,0.5520754446055003,7189,0.5401928522891188,6268
410,ucb,0.5477848133963409,0.0705901645045942,0.4824780501983571,0.6134929746155684,0.002308119447238356,15481,25519,0.37758536585365854,0.5447023443737847,6921,0.553935783393083,6961,0.5478483230711967,6541,0.5477251804912082,6774,0.5515453545239972,7375,0.5409518945247752,6428
420,ucb,0.5519416640500204,0.06832394171524797,0.49322314928812944,0.6167728882807983,0.0021246911947747278,16014,25986,0.3812857142857143,0.5513779513554541,7096,0.5530442762099719,7111,0.5475478496734162,6680,0.5544345863024036,6957,0.5636187692741017,7557,0.5416265514847758,6599
430,ucb,0.5534328268573743,0.06735638058032792,0.4928373683751802,0.619581945593727,0.0021596594274227747,16531,26469,0.3844418604651163,0.5529060539352804,7244,0.5520295582141371,7309,0.5510462131167352,6838,0.5579183346264792,7104,0.5638531456934401,7747,0.5428436555581739,6758
440,ucb,0.5557051011073294,0.06733914708214932,0.49371868502061134,0.6240248680768946,0.0022651198661564603,17060,26940,0.38772727272727275,0.5583798292748196,7413,0.5568876807731894,7494,0.5486911621976894,6972,0.5546758652659295,7256,0.5685418951905034,7935,0.547054173941846,6930
450,ucb,0.5587681369250546,0.06548518890226356,0.4978754862151728,0.6243907856364558,0.0022521375758581953,17597,27403,0.3910444444444444,0.5564878267815724,7576,0.5650671314674992,7672,0.5466905802482133,7123,0.5619912649761958,7431,0.5731422645577433,8106,0.5492297535191031,7092
460,ucb,0.5593585897809376,0.06668446184522624,0.4930348400968069,0.623711289614825,0.0022637581487960716,18119,27881,0.3938913043478261,0.5558131868378158,7751,0.560384778398471,7787,0.5478301272072525,7294,0.5618552255469045,7603,0.5747022846478046,8285,0.5555659360473775,7280
470,ucb,0.5636862428384972,0.06599702909909788,0.4987715971775854,0.6269842933580915,0.002146565637940265,18678,28322,0.3974042553191489,0.5621389238283776,7949,0.5607775223560048,7923,0.5598213673803609,7494,0.55809016281185,7736,0.5784445384339054,8452,0.5628449422204845,7446
480,ucb,0.5615188197800419,0.0657727160013955,0.4983909002013223,0.6268513131209892,0.002206282938129372,19180,28820,0.39958333333333335,0.5622896066602749,8128,0.5582955659592361,8095,0.55832230415922,7658,0.557318029386211,7919,0.57059202563768,8577,0.5622953868776294,7623
490,ucb,0.5636350249243316,0.06457503252176232,0.5029276549778507,0.6300640453054939,0.002268420055546527,19721,29279,0.40246938775510205,0.5694132860714347,8301,0.5585256790967263,8279,0.556750042473314,7830,0.5617463149101841,8059,0.5725294916111718,8745,0.5628453353831584,7786
500,ucb,0.5656524348297041,0.06441838423671756,0.49985411536723967,0.6327732130366053,0.0022500672137516805,20265,29735,0.4053,0.5666362072012399,8458,0.5672308374948853,8483,0.5603718711203183,8006,0.563313538180332,8206,0.575180151077469,8916,0.5611820039039809,7931
510,ucb,0.5681257507726771,0.06381785473148693,0.5023862254622679,0.6301504099922802,0.0022413951098599616,20816,30184,0.40815686274509805,0.5669593539726869,8621,0.5775957528619302,8704,0.5662540124279141,8180,0.5624003172887106,8359,0.5775233557380757,9064,0.5580217123467457,8072
520,ucb,0.5686718335877347,0.06309451577463157,0.5048797347168186,0.6317035216003456,0.002139998031230295,21351,30649,0.41059615384615383,0.5717710284917993,8803,0.5780206718680199,8851,0.5639189563888438,8336,0.561379027197075,8566,0.5768007317090244,9218,0.5601405858716452,8226
530,ucb,0.5713475171407354,0.06016223242370353,0.5124083337070087,0.6322489756977117,0.0019702882462621506,21908,31092,0.41335849056603774,0.5776691409064894,8974,0.5749386624697461,8998,0.5686057509198027,8519,0.5707331386718414,8781,0.5786386056654097,9383,0.5574998042111236,8345
